id,HR,HR.95L,HR.95H,pvalue
PDIA2|ACP5,0.28013865,0.207142765,0.378857853,1.44E-16
PARP4|FMOD,0.256118727,0.185388669,0.353833936,1.45E-16
BCAT1|NCOA4,4.152088151,2.961883812,5.820564582,1.45E-16
RFC2|ABCC3,0.244980746,0.175455108,0.342056533,1.47E-16
LEF1|PDLIM1,0.283553598,0.210246515,0.382420813,1.48E-16
COL1A1|FYN,4.908766025,3.364905087,7.160969855,1.48E-16
PRKACA|RIN2,4.281487376,3.031497589,6.04689056,1.50E-16
ADM2|CYP2D6,3.714992119,2.720418055,5.073178522,1.52E-16
PSMC1|BIRC5,0.263625307,0.192091152,0.361798562,1.52E-16
KCNK3|NOD1,0.240806716,0.171715263,0.337697846,1.56E-16
DIRAS3|ABCC3,0.273815515,0.201296758,0.37245973,1.57E-16
COL4A1|LAMP2,3.68665188,2.704129817,5.026164795,1.58E-16
GNL3L|LUM,0.215061761,0.149280304,0.309830299,1.58E-16
RECQL|SHANK2,5.42150611,3.627622957,8.102476152,1.64E-16
MARCKSL1|LAPTM5,0.250712218,0.180424513,0.348381798,1.70E-16
TP73|SHANK2,4.196671804,2.983823406,5.90251226,1.70E-16
DDX17|CLIC4,0.280322426,0.207146423,0.379348394,1.72E-16
BGN|SNAP25,3.920267505,2.83261085,5.425559007,1.72E-16
ADCYAP1R1|ITGA6,0.231959601,0.163848515,0.328384158,1.74E-16
PSMB10|S100A11,0.163337373,0.106114088,0.251418997,1.81E-16
ALDH3B1|BIRC5,0.284576286,0.210976944,0.383850769,1.85E-16
PIK3R3|GCLC,3.503440839,2.599207974,4.722245329,1.86E-16
KCNK3|IL6,0.237127305,0.168323029,0.334056245,1.86E-16
GADD45G|S100A13,0.253356093,0.182683277,0.351369381,1.90E-16
S100PBP|GCLC,4.390504512,3.086464488,6.245505154,1.91E-16
PTPN6|CHI3L2,0.226612155,0.159112163,0.322747598,1.91E-16
PSMB9|GCLC,4.087372272,2.92267578,5.716204379,1.92E-16
SEMA6C|PYCARD,0.261433287,0.189903765,0.359905257,1.94E-16
GADD45G|HIST2H2BE,0.261013119,0.189518509,0.359478599,1.96E-16
CASP8|PRKCB,4.306615395,3.040627804,6.099706164,2.01E-16
TREM1|BICC1,3.563284143,2.631950162,4.824177169,2.02E-16
SIRT1|TNR,3.570280557,2.63575581,4.836147268,2.05E-16
CORO1A|COL4A1,0.214967529,0.148990284,0.310161424,2.06E-16
HSPB1|MARCKSL1,4.728555073,3.264514405,6.849175805,2.06E-16
CD70|PTK6,4.20687752,2.986439078,5.926060438,2.06E-16
PIK3R3|ABCC3,0.242499925,0.172943304,0.340031746,2.13E-16
CHI3L2|ITGB4,3.488227492,2.588862756,4.700029389,2.17E-16
MCM2|PARP4,3.495123429,2.592629763,4.711774878,2.19E-16
TNFRSF14|MAPK10,4.389182253,3.083174692,6.248403926,2.24E-16
PSMD14|CHI3L2,0.287208463,0.213216713,0.386877277,2.25E-16
RECQL|CHI3L2,0.267412432,0.195153925,0.366425674,2.27E-16
PSMD6|RRM2,0.240111207,0.170770335,0.337607766,2.30E-16
PDIA2|GATA4,0.21783151,0.151331506,0.313553787,2.39E-16
RRM1|LARP4B,4.878168919,3.339911927,7.124898057,2.42E-16
S100B|MARCKSL1,3.545294652,2.619536842,4.798220039,2.47E-16
PSMD9|SHANK2,5.260493109,3.536701695,7.824461924,2.49E-16
