ID,group1,group2,batch
CGGA_511,CGGA301,CGGA301,2
CGGA_579,CGGA301,CGGA301,2
CGGA_589,CGGA301,CGGA301,2
CGGA_639,CGGA301,CGGA301,2
CGGA_672,CGGA301,CGGA301,2
CGGA_868,CGGA301,CGGA301,2
CGGA_191,CGGA301,CGGA301,2
CGGA_266,CGGA301,CGGA301,2
CGGA_282,CGGA301,CGGA301,2
CGGA_291,CGGA301,CGGA301,2
CGGA_296,CGGA301,CGGA301,2
CGGA_312,CGGA301,CGGA301,2
CGGA_315,CGGA301,CGGA301,2
CGGA_347,CGGA301,CGGA301,2
CGGA_348,CGGA301,CGGA301,2
CGGA_378,CGGA301,CGGA301,2
CGGA_395,CGGA301,CGGA301,2
CGGA_398,CGGA301,CGGA301,2
CGGA_411,CGGA301,CGGA301,2
CGGA_415,CGGA301,CGGA301,2
CGGA_418,CGGA301,CGGA301,2
CGGA_440,CGGA301,CGGA301,2
CGGA_455,CGGA301,CGGA301,2
CGGA_482,CGGA301,CGGA301,2
CGGA_500,CGGA301,CGGA301,2
CGGA_514,CGGA301,CGGA301,2
CGGA_519,CGGA301,CGGA301,2
CGGA_523,CGGA301,CGGA301,2
CGGA_528,CGGA301,CGGA301,2
CGGA_610,CGGA301,CGGA301,2
CGGA_615,CGGA301,CGGA301,2
CGGA_623,CGGA301,CGGA301,2
CGGA_674,CGGA301,CGGA301,2
CGGA_706,CGGA301,CGGA301,2
CGGA_740,CGGA301,CGGA301,2
CGGA_765,CGGA301,CGGA301,2
CGGA_786,CGGA301,CGGA301,2
CGGA_809,CGGA301,CGGA301,2
CGGA_1069,CGGA301,CGGA301,2
CGGA_652,CGGA301,CGGA301,2
CGGA_420,CGGA301,CGGA301,2
CGGA_474,CGGA301,CGGA301,2
CGGA_232,CGGA301,CGGA301,2
CGGA_259,CGGA301,CGGA301,2
CGGA_406,CGGA301,CGGA301,2
CGGA_492,CGGA301,CGGA301,2
CGGA_530,CGGA301,CGGA301,2
CGGA_831,CGGA301,CGGA301,2
CGGA_869,CGGA301,CGGA301,2
CGGA_D60,CGGA301,CGGA301,2
CGGA_703,CGGA301,CGGA301,2
CGGA_104,CGGA301,CGGA301,2
CGGA_462,CGGA301,CGGA301,2
CGGA_798,CGGA301,CGGA301,2
HF0048_U133P2,CGGA475,CGGA475,3
HF0268_U133P2,CGGA475,CGGA475,3
X00715851_U133P2,CGGA475,CGGA475,3
X03437595_U133P2,CGGA475,CGGA475,3
X03460111_U133P2,CGGA475,CGGA475,3
X03463522_U133P2,CGGA475,CGGA475,3
E09296_U133P2,CGGA475,CGGA475,3
E09398_U133P2,CGGA475,CGGA475,3
E09471_U133P2,CGGA475,CGGA475,3
E09542_U133P2,CGGA475,CGGA475,3
E09673_U133P2,CGGA475,CGGA475,3
E09797_U133P2,CGGA475,CGGA475,3
E09811_U133P2,CGGA475,CGGA475,3
E10025_U133P2,CGGA475,CGGA475,3
E10483_U133P2,CGGA475,CGGA475,3
HF0022_U133P2,CGGA475,CGGA475,3
HF0026_U133P2,CGGA475,CGGA475,3
HF0223_U133P2,CGGA475,CGGA475,3
HF0252_U133P2_2,CGGA475,CGGA475,3
HF0305_U133P2,CGGA475,CGGA475,3
HF0316_U133P2,CGGA475,CGGA475,3
HF0329_U133P2,CGGA475,CGGA475,3
HF0332_U133P2,CGGA475,CGGA475,3
HF0434_U133P2,CGGA475,CGGA475,3
HF0450_U133P2,CGGA475,CGGA475,3
HF0488_U133P2,CGGA475,CGGA475,3
HF0491_U133P2,CGGA475,CGGA475,3
HF0606_U133P2,CGGA475,CGGA475,3
HF0608_U133P2,CGGA475,CGGA475,3
HF0639_U133P2,CGGA475,CGGA475,3
HF0670_U133P2,CGGA475,CGGA475,3
HF0726_U133P2,CGGA475,CGGA475,3
HF0757_U133P2,CGGA475,CGGA475,3
HF0778_U133P2,CGGA475,CGGA475,3
HF0802_U133P2,CGGA475,CGGA475,3
HF0822_U133P2,CGGA475,CGGA475,3
HF0844_U133P2,CGGA475,CGGA475,3
HF0855_U133P2,CGGA475,CGGA475,3
HF0899_U133P2,CGGA475,CGGA475,3
HF0914_U133P2,CGGA475,CGGA475,3
HF0931_U133P2,CGGA475,CGGA475,3
HF0936_U133P2,CGGA475,CGGA475,3
HF0953_U133P2_2,CGGA475,CGGA475,3
HF0982_U133P2,CGGA475,CGGA475,3
HF1000_U133P2,CGGA475,CGGA475,3
HF1156_U133P2,CGGA475,CGGA475,3
HF1235_U133P2,CGGA475,CGGA475,3
HF1246_U133P2,CGGA475,CGGA475,3
HF1316_U133P2,CGGA475,CGGA475,3
HF1319_U133P2,CGGA475,CGGA475,3
HF1325_U133P2,CGGA475,CGGA475,3
HF1334_U133P2,CGGA475,CGGA475,3
